                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 1.1104,                 0.6249,                0.98653,                0.89109,                0.76229,                 0.8343,                0.43062,                 1.7453,                0.88568,                 1.2609,               0.002278,               0.002278,               0.002278
                     80,                  1.086,                0.58843,                0.97923,                0.85592,                0.77839,                0.82677,                0.39554,                 1.8184,                0.91451,                  1.312,               0.002179,               0.002179,               0.002179
                     81,                 1.1132,                0.60079,                0.98542,                0.88881,                0.74828,                0.81562,                0.37184,                 1.8899,                0.92521,                 1.3648,                0.00208,                0.00208,                0.00208
                     82,                 1.0823,                0.60129,                0.96384,                0.87024,                0.77101,                0.82011,                0.39642,                 1.8596,                0.89681,                 1.3428,               0.001981,               0.001981,               0.001981
                     83,                 1.0387,                0.58206,                0.96591,                0.84807,                0.78413,                0.81937,                0.38761,                 1.8571,                0.91162,                 1.3415,               0.001882,               0.001882,               0.001882
                     84,                 1.0486,                0.57472,                0.97809,                0.87891,                0.78373,                 0.8258,                0.40599,                 1.8014,                0.88135,                 1.3042,               0.001783,               0.001783,               0.001783
                     85,                 1.0643,                0.57368,                0.97131,                0.88771,                0.75019,                0.83089,                0.41516,                 1.7857,                0.89121,                 1.2878,               0.001684,               0.001684,               0.001684
                     86,                 1.0326,                0.56064,                0.95822,                0.85412,                0.80389,                0.82808,                0.39751,                 1.8518,                0.89243,                  1.328,               0.001585,               0.001585,               0.001585
                     87,                 1.0235,                0.56211,                0.96065,                0.88288,                0.79615,                0.84301,                0.41034,                 1.7825,                0.85898,                 1.2932,               0.001486,               0.001486,               0.001486
                     88,                 1.0298,                0.55768,                0.95787,                0.88483,                0.79038,                0.84673,                0.40713,                 1.8077,                0.86225,                 1.3035,               0.001387,               0.001387,               0.001387
                     89,                 1.0191,                0.56027,                0.94779,                0.89279,                0.79577,                0.85183,                0.42201,                 1.7796,                0.86898,                 1.2992,               0.001288,               0.001288,               0.001288
                     90,                0.99034,                0.55311,                0.95174,                0.90251,                0.76581,                 0.8459,                0.41503,                 1.8001,                0.85863,                 1.3131,               0.001189,               0.001189,               0.001189
                     91,                 1.0374,                0.53334,                0.98901,                0.85218,                0.78957,                0.84219,                0.40452,                 1.8174,                0.89388,                 1.3208,                0.00109,                0.00109,                0.00109
                     92,                0.98037,                  0.529,                0.97343,                0.86386,                0.77887,                0.82982,                0.39582,                 1.8443,                0.89204,                 1.3324,               0.000991,               0.000991,               0.000991
                     93,                0.94835,                0.49546,                0.97374,                0.86452,                0.78867,                0.82949,                0.39334,                 1.8541,                0.88185,                 1.3421,               0.000892,               0.000892,               0.000892
                     94,                0.90942,                0.47282,                0.94244,                0.88938,                0.75251,                0.83083,                0.39841,                 1.8314,                0.89075,                 1.3399,               0.000793,               0.000793,               0.000793
                     95,                0.92576,                0.48138,                0.94345,                0.90011,                0.75392,                0.83155,                0.39707,                 1.8317,                0.88643,                  1.344,               0.000694,               0.000694,               0.000694
                     96,                0.92221,                0.48627,                 0.9367,                0.89185,                0.77678,                0.83748,                0.41619,                 1.8108,                0.88396,                 1.3332,               0.000595,               0.000595,               0.000595
                     97,                0.90843,                 0.4712,                0.94587,                0.86107,                0.78389,                0.83358,                0.40527,                 1.8293,                0.88788,                 1.3501,               0.000496,               0.000496,               0.000496
                     98,                0.91445,                0.46816,                0.94678,                0.84943,                0.79471,                0.83862,                0.39649,                 1.8494,                0.89221,                 1.3551,               0.000397,               0.000397,               0.000397
                     99,                0.88123,                0.46826,                 0.9405,                0.91529,                0.74342,                0.84005,                0.40274,                 1.8346,                0.88197,                 1.3436,               0.000298,               0.000298,               0.000298
                    100,                0.89581,                0.45565,                0.93174,                0.92817,                0.74821,                0.84031,                0.40818,                 1.8353,                0.88468,                 1.3439,               0.000199,               0.000199,               0.000199
